date,home_team,away_team,team,scorer,tournament,minute,own_goal,penalty
06-02-2013,Honduras,United States,United States,Clint Dempsey,FIFA World Cup qualification,36,FALSE,FALSE
06-02-2013,Honduras,United States,Honduras,Juan Carlos García,FIFA World Cup qualification,40,FALSE,FALSE
06-02-2013,Honduras,United States,Honduras,Jerry Bengtson,FIFA World Cup qualification,79,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Panama,Luis Henríquez,FIFA World Cup qualification,15,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Panama,Román Torres,FIFA World Cup qualification,27,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Costa Rica,Álvaro Saborío,FIFA World Cup qualification,39,FALSE,FALSE
06-02-2013,Panama,Costa Rica,Costa Rica,Bryan Ruiz,FIFA World Cup qualification,84,FALSE,FALSE
22-03-2013,Andorra,Turkey,Turkey,Selçuk İnan,FIFA World Cup qualification,30,FALSE,FALSE
22-03-2013,Andorra,Turkey,Turkey,Burak Yılmaz,FIFA World Cup qualification,45,FALSE,FALSE
22-03-2013,Argentina,Venezuela,Argentina,Gonzalo Higuaín,FIFA World Cup qualification,29,FALSE,FALSE
22-03-2013,Argentina,Venezuela,Argentina,Lionel Messi,FIFA World Cup qualification,45,FALSE,TRUE
22-03-2013,Argentina,Venezuela,Argentina,Gonzalo Higuaín,FIFA World Cup qualification,59,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Philipp Hosiner,FIFA World Cup qualification,8,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Philipp Hosiner,FIFA World Cup qualification,20,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Andreas Ivanschitz,FIFA World Cup qualification,28,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,Zlatko Junuzović,FIFA World Cup qualification,77,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,David Alaba,FIFA World Cup qualification,78,FALSE,FALSE
22-03-2013,Austria,Faroe Islands,Austria,György Garics,FIFA World Cup qualification,82,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Bosnia and Herzegovina,Edin Džeko,FIFA World Cup qualification,29,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Bosnia and Herzegovina,Vedad Ibišević,FIFA World Cup qualification,36,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Bosnia and Herzegovina,Edin Džeko,FIFA World Cup qualification,53,FALSE,FALSE
22-03-2013,Bosnia and Herzegovina,Greece,Greece,Theofanis Gekas,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Aleksandar Tonev,FIFA World Cup qualification,6,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Aleksandar Tonev,FIFA World Cup qualification,38,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Ivelin Popov,FIFA World Cup qualification,47,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Emil Gargorov,FIFA World Cup qualification,55,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Aleksandar Tonev,FIFA World Cup qualification,68,FALSE,FALSE
22-03-2013,Bulgaria,Malta,Bulgaria,Ivan Ivanov,FIFA World Cup qualification,78,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Macnelly Torres,FIFA World Cup qualification,20,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Carlos Valdés,FIFA World Cup qualification,49,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Teófilo Gutiérrez,FIFA World Cup qualification,62,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Radamel Falcao,FIFA World Cup qualification,86,FALSE,FALSE
22-03-2013,Colombia,Bolivia,Colombia,Pablo Armero,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,Croatia,Serbia,Croatia,Mario Mandžukić,FIFA World Cup qualification,23,FALSE,FALSE
22-03-2013,Croatia,Serbia,Croatia,Ivica Olić,FIFA World Cup qualification,37,FALSE,FALSE
22-03-2013,Czech Republic,Denmark,Denmark,Andreas Cornelius,FIFA World Cup qualification,57,FALSE,FALSE
22-03-2013,Czech Republic,Denmark,Denmark,Simon Kjær,FIFA World Cup qualification,67,FALSE,FALSE
22-03-2013,Czech Republic,Denmark,Denmark,Niki Zimling,FIFA World Cup qualification,83,FALSE,FALSE
22-03-2013,France,Georgia,France,Olivier Giroud,FIFA World Cup qualification,45,FALSE,FALSE
22-03-2013,France,Georgia,France,Mathieu Valbuena,FIFA World Cup qualification,47,FALSE,FALSE
22-03-2013,France,Georgia,France,Franck Ribéry,FIFA World Cup qualification,61,FALSE,FALSE
22-03-2013,France,Georgia,Georgia,Alexander Kobakhidze,FIFA World Cup qualification,71,FALSE,FALSE
22-03-2013,Honduras,Mexico,Mexico,Javier Hernández,FIFA World Cup qualification,28,FALSE,FALSE
22-03-2013,Honduras,Mexico,Mexico,Javier Hernández,FIFA World Cup qualification,54,FALSE,FALSE
22-03-2013,Honduras,Mexico,Honduras,Carlo Costly,FIFA World Cup qualification,77,FALSE,FALSE
22-03-2013,Honduras,Mexico,Honduras,Jerry Bengtson,FIFA World Cup qualification,80,FALSE,FALSE
22-03-2013,Hungary,Romania,Hungary,Vilmos Vanczák,FIFA World Cup qualification,16,FALSE,FALSE
22-03-2013,Hungary,Romania,Romania,Adrian Mutu,FIFA World Cup qualification,68,FALSE,TRUE
22-03-2013,Hungary,Romania,Hungary,Balázs Dzsudzsák,FIFA World Cup qualification,71,FALSE,TRUE
22-03-2013,Hungary,Romania,Romania,Alexandru Chipciu,FIFA World Cup qualification,90,FALSE,FALSE
22-03-2013,Israel,Portugal,Portugal,Bruno Alves,FIFA World Cup qualification,2,FALSE,FALSE
